Samples	SBS80A	SBS80B	SBS80C	SBS80D
1de83d45-8492-4b83-9055-a9f43b823f91	457	1	41	0
1df8939c-c622-11e3-bf01-24c6515278c0	320	266	94	200
1e046ab9-fa4c-4c15-8d78-ed0048c80ebf	460	57	9	0
1e181878-c640-4e91-a620-3fc4b08a4de1	260	0	296	253
1e27cc8a-5394-4958-9af6-5ece1fe24516	320	0	534	185
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	251	1486	638	0
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	442	67	4	0
1ea7e01c-c623-11e3-bf01-24c6515278c0	339	19	114	218
1eb1bc62-18f6-4bcb-a16d-aa6a91914031	464	0	68	0
1eb37b28-fac2-477a-88b3-e04291a07926	385	131	18	83
1eb62abc-7928-405b-84cc-f091ca5347b2	226	579	168	315
1f04210a-0c2e-4bb8-ac8e-86198e5f1d34	372	0	214	74
1f2a8889-4374-4037-bb56-0f20733380e3	49	1409	1013	361
1f5e70c1-c5de-49e7-941a-46e11a4f4416	369	112	0	120
1f81a1b0-8089-44ef-87b5-b3359a407ad2	295	478	308	160
1f8d8720-30ca-4057-90f7-a34b8383eafe	447	2	18	0
1f967003-82d6-4932-a445-24fc25723594	102	776	0	609
1fd69adc-c623-11e3-bf01-24c6515278c0	420	0	71	44
1fdab6a6-7346-4229-aa8d-5dbd258f0c60	226	598	88	393
1ff155dd-deb4-44e0-b3a2-e4875b618435	373	0	99	110
1fff8b62-534b-4d71-a65f-e5f93b8b50ed	274	204	354	245
2009e5e7-1796-445b-8677-46b3804fe0bf	446	0	42	16
2045c788-9ea8-4ea5-a5e3-65fc16a62adb	110	652	713	410
207f8a42-5b05-4876-b0ae-ebfaeea27844	0	1436	588	616
209a9b10-7129-48fe-a899-d14ba17efe6f	448	44	36	0
20d1b88b-3ff6-4201-a748-6a993500c652	396	25	0	142
20e02396-e676-412d-9724-44a428919cdb	101	1325	137	553
2102558b-87b0-447b-bb9a-e4ae9df8b75e	319	0	413	126
2109e1d4-c623-11e3-bf01-24c6515278c0	385	92	239	80
21205681-a0c7-48d0-81d4-0b7ef31158cf	221	386	354	333
