MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
SS[>2 & <=3]	1.098789779696574e-07	0.0	0.00032737641784571283	0.0	0.000291025397682958	0.0	1.0020448485192901e-07	0.0027862001580069773	0.0006488734725014211	0.02805731729184515	0.023227181287039825	4.245956183837052e-06	0.000342421357191629	0.0003819709904774626	4.938005737756157e-05	0.0009373837859794775	0.0004689960168042262
SS[>3 & <=4]	9.869489925679043e-08	0.0	0.0023116681105284443	7.576060057338318e-08	0.0003199739142883118	0.0	0.00034125384854611696	0.0019141347543160947	0.002634640415857632	0.1075702177724088	0.11658239502441801	2.876061978440703e-07	0.0015135579775255614	0.0026241610015387096	0.0012959446349478298	0.0045498553904553775	0.0010725261122428264
SS[>4 & <=5]	5.115812551359511e-10	0.003235653428250286	0.04046213529072702	0.0	0.004188311949407648	0.0	0.013822183468768401	0.05096770548261702	0.04678791178856045	0.018678732464070293	0.21761236265301703	0.0022963269638714224	0.0027233107915253458	0.05531788348103696	0.015732232690425008	0.028435810165723874	0.022751337038171185
SS[>5 & <=6]	8.911531845789967e-11	0.0018825655258115149	0.15868256125599145	0.002721287703647252	0.09101111319381801	0.00032869384973309933	0.08548234209330985	0.10270503159612417	0.04902825690311147	0.002068634945899248	0.0218932462669909	0.005356166725376852	0.005974268832786518	0.012971376858315174	0.02594032460844323	0.01488794735097855	0.03657448117619424
SS[>6 & <=7]	0.0	0.0006157785840332508	0.07070769095327706	0.21560786679387092	0.050378087240233994	0.005618978509446606	0.0431377097312361	0.02791706899181008	0.06263873658142989	0.05220329502597451	0.006752378948149272	0.01611648880411325	0.024591923674852297	0.02170362019678578	0.023402611053092527	0.025301764576663638	0.025137441705082614
SS[>7 & <=8]	0.015634378334507346	0.13117107570171357	0.004237909866747231	0.07023325595539064	0.005375952804151916	0.10345325956121088	0.009803652618740308	0.0004556983055101408	0.03811625465430552	0.0397695933131038	0.010238263540013576	0.029362725161409555	0.04445642074671925	0.023408880576346346	0.018375217496650293	0.033230157775105906	0.010058898744480658
SS[>8]	0.03663286358118057	0.0022918846298108876	4.512057971695072e-09	0.0	4.0826757419232253e-10	0.008891992734803011	0.0	0.0	2.7108588707136504e-11	0.0	1.1126579106957025e-08	4.237659254613391e-09	7.077582550252259e-07	7.331520284203918e-09	0.0	2.5614392030520727e-09	3.3993090795547685e-08
NC50[<=2]	0.0012898753589079348	0.0	2.186579095875274e-07	0.0	2.6547381715147366e-09	7.278146307854172e-11	1.5412905973732904e-09	8.110293934309176e-05	6.447702816103629e-10	0.0	4.835424648126363e-06	5.812114878267493e-10	4.2916271106212546e-05	1.484035073683998e-05	8.567837399553469e-09	3.510253482374992e-07	1.4007065725820667e-05
NC50[3]	0.0005581092796637676	4.7875889558781635e-05	6.101587816993437e-06	0.0	1.2766828058374814e-06	0.0003401323153735092	3.3769319844800806e-05	8.819644695904571e-05	0.0	0.0	3.1730689457099005e-06	5.397030035965145e-06	0.0	6.6734206534668776e-06	1.6173428961892e-05	2.6258537278067706e-06	8.157587896349127e-06
NC50[4]	0.00014103293730322264	0.0003387284096515941	2.8441610662277572e-06	0.0	3.9997516978473866e-07	0.0009802786493673921	0.00014635876195825403	1.945380581620526e-05	4.129645676584915e-06	1.3231317097961437e-07	1.701386080640077e-05	2.5537589681334795e-06	0.0	5.404098374128808e-07	0.0003430444000923835	6.012864079821156e-05	1.3204427577875322e-05
NC50[5]	2.2488620094485158e-05	0.000691373624940752	2.6891243487803253e-06	2.5644600887275713e-10	1.3974023434886185e-05	0.0007782309727303982	1.8036907079022057e-10	2.8456533982534894e-08	1.9804089004291647e-05	4.304953948874868e-11	1.5193149807481987e-05	3.2185449097204e-05	2.238567855012974e-05	1.670899337023357e-05	6.759246474530301e-07	6.698598192294014e-06	3.5763086526685585e-06
NC50[6]	5.585912575831742e-06	0.0006628537377400789	1.2544393003501853e-05	0.0001306123740597398	1.4339623900960774e-05	0.0003087421662485212	1.9359404745955543e-10	1.3379507501909416e-11	7.104093727321015e-05	0.00011094514487947294	7.106510268082289e-06	0.0005026274944401621	0.00010349009610990833	1.2426055265088998e-05	4.07551386160776e-06	3.523688478821896e-05	3.550122990418458e-05
